"possumopossum","9","102","110","26 November 2006"
"miknnik","10","65","70","30 January 2007"
"Alec-11","Null","276","333","26 June 1999"
"richcarter150","10","199","250","4 May 2004"
"johndoherty","10","198","266","4 February 2001"
"SevenOfNine63","10","19","22","15 March 2005"
"Smells_Like_Cheese","10","19","22","16 November 2003"
"DRIAINCLARK","Null","108","147","1 April 2002"
"OriginalMovieBuff21","10","83","116","27 September 2004"
"tfrizzell","Null","92","131","26 September 2000"
"tombew","Null","129","190","9 September 2000"
"mario_filipe","10","12","14","23 May 2004"
"AngieMargie","Null","75","110","15 April 2003"
"XenoCorpse","Null","34","47","28 November 2001"
"Nameless","10","97","155","13 December 1998"
"Nazi_Fighter_David","9","54","83","4 December 2003"
"dataconflossmoor-1","10","12","16","17 February 2010"
"ave27","9","8","10","2 April 2011"
"sol-","Null","15","22","16 February 2005"
"AlsExGal","9","9","12","16 January 2010"
"pelicans_and_such","10","11","16","30 October 2004"
"bandw","6","8","11","13 December 2013"
"dr_foreman","10","8","11","23 January 2004"
"mstomaso","9","7","10","26 December 2005"
"redrobin62-321-207311","10","4","5","29 April 2017"
"ironhorse_iv","9","4","5","20 August 2016"
"flackjacket","1","20","38","26 March 2015"
"spiderdan","1","53","119","7 August 2002"
"Quinoa1984","9","5","7","8 February 2001"
"PmW","6","8","13","2 December 2013"
"ma-cortes","8","6","9","14 January 2014"
"Bolesroor","Null","7","11","1 March 2011"
"Galina_movie_fan","10","7","11","22 February 2006"
"tracywinters-44332","3","8","14","8 April 2017"
"tedg","Null","10","19","14 July 2002"
"son_of_cheese_messiah","5","6","10","26 August 2010"
"MovieAddict2016","10","6","10","13 October 2005"
"StanleyStrangelove","Null","6","10","19 September 2005"
"Libretio","10","6","10","31 May 2005"
"NaplesMacMan","10","6","10","21 May 2004"
"JoeKarlosi","2","28","66","3 January 2005"
"ThomasDrufke","5","9","17","12 September 2016"
"peeweeisdead","Null","11","22","12 July 2005"
"VWaltz77","9","5","8","17 August 2003"
"xiaoguan","6","8","15","7 July 2005"
"lllinggg","6","8","15","9 June 2003"
"Indy-52","6","8","15","21 December 2001"
"secondtake","10","3","4","3 March 2012"
"Pycs","Null","3","4","25 July 2011"
"happipuppi13","10","3","4","16 April 2011"
"cmcole","Null","3","4","17 November 2004"
"chrismrrw","2","12","25","8 May 2013"
"mircea85","4","12","25","10 July 2005"
"TheLittleSongbird","10","4","6","7 March 2010"
"DerBurns","Null","4","6","27 May 2004"
"clangfield","9","4","6","16 January 2004"
